SK_ID_CURR,TARGET
100001,0.14415297
100005,0.24975188
100013,0.077369526
100028,0.09788045
100038,0.23194268
100042,2.7160312e-31
100057,0.030780815
100065,5.308675e-37
100066,0.05586237
100067,7.9882e-21
100074,0.1347114
100090,0.17294379
100091,0.26180464
100092,0.15836419
100106,4.298697e-17
100107,0.0
100109,0.10488506
100117,0.069910616
100128,0.0
100141,2.98939e-16
100150,3.1824984e-06
100168,0.03900825
100169,1.3568247e-26
100170,0.09127509
100171,0.095252216
100172,0.22519168
100184,0.116747364
100187,0.14956552
100212,0.082550265
100222,0.19217783
100223,0.034954835
100232,0.063692115
100241,0.06068079
100245,0.071344316
100253,0.0
100256,0.19630235
100271,0.0402308
100278,0.21922642
100280,0.0
100306,0.24117401
100311,0.19254695
100312,2.0725988e-06
100330,0.13888915
100331,0.0
100352,0.024803948
100358,0.21943457
100367,0.09649699
100382,0.0
100384,6.2742123e-09
100385,0.15390569
100386,1.2780417e-07
100399,0.10742556
100404,0.13323233
100416,0.026075562
100422,0.21518677
100426,0.08837164
100438,0.08685252
100444,0.18735951
100445,0.13854326
100446,0.015532946
100447,0.0815237
100450,0.1051303
100466,0.0017971412
100483,0.061956685
100484,0.0
100494,0.0
100510,0.20539649
100512,0.0
100517,0.10769854
100548,1.9104424e-23
100551,0.09336439
100552,0.16834913
100553,0.045088947
100561,0.006868568
100568,0.26970387
100569,0.076005794
100591,0.00038040042
100592,0.018922787
100602,0.09971078
100607,0.14612696
100613,0.10431308
100617,0.12384043
100618,0.12841415
100622,0.2671705
100625,0.0538842
100677,0.0
100699,0.12542276
100702,0.394611
100711,8.355636e-15
100729,0.18713453
100740,0.16965795
100744,0.18787803
100745,0.14533073
100747,0.0
100751,0.13219403
100752,0.082773045
100753,0.27073482
100754,0.24669227
100760,0.11594172
100762,0.12687773
100763,0.0
100765,0.04672639
100770,8.254393e-13
100772,0.0
100777,0.07220341
100791,0.038722225
100792,0.03831149
100797,0.05466713
100823,0.10251048
100826,0.10598316
100830,0.072141245
100836,0.25957903
100872,8.643551e-17
100910,0.16719216
100913,0.17617893
100918,0.053320542
100931,3.5935827e-05
100952,0.12754701
100953,5.6048806e-09
100965,0.19556737
100970,0.10378973
100982,0.21974576
100983,0.14994606
100984,0.029179696
100987,0.13335264
100997,0.061434828
100998,0.106798396
101002,0.13466287
101005,0.26543418
101008,3.0390533e-05
101020,0.18740106
101021,0.18000838
101024,2.439149e-07
101025,0.24911095
101026,0.0015822328
101031,5.579668e-07
101041,3.882028e-11
101051,5.0799452e-05
101055,0.22190577
101056,0.23327588
101057,0.15563029
101064,3.157573e-06
101079,0.15435757
101087,1.139774e-09
101090,8.2269885e-11
101092,0.14729315
101097,0.14106692
101099,3.6747002e-05
101107,0.13358237
101118,0.13321671
101125,0.15813543
101126,0.07551547
101128,0.07794454
101136,0.20486683
101140,0.15642305
101149,0.1893332
101160,9.035293e-21
101169,0.21724878
101181,0.13080335
101186,0.00071449805
101190,0.20385501
101193,0.22496277
101194,0.061782636
101198,0.16418764
101200,7.93078e-05
101204,0.11037331
101211,0.10932497
101213,0.16283956
101223,0.13916749
101225,0.13705607
101237,0.14378662
101243,0.16484226
101244,0.21977058
101258,0.08593908
101259,0.27102026
101268,0.1607453
101269,0.051088512
101271,0.17287514
101279,0.03947958
101281,0.13908736
101287,0.11534096
101292,6.745254e-17
101294,0.13140677
101296,0.10218548
101297,0.09649476
101299,0.008676023
101301,2.3220412e-20
101305,0.12878393
101308,0.12661478
101318,0.050916597
101327,0.24877165
101329,0.15855058
101332,1.7933954e-29
101337,0.13270898
101343,0.008582163
101345,0.09438838
101346,0.04084439
101353,1.9924422e-16
101354,0.15594299
101355,0.26291505
101356,0.0678655
101362,0.19026916
101363,0.27102026
101365,0.028489798
101366,0.21156235
101367,0.26800552
101368,1.3681945e-37
101374,1.7722876e-05
101380,0.080622666
101383,0.0
101398,0.058161262
101399,0.27102026
101401,0.26028052
101412,0.00019839784
101426,0.100470275
101427,0.35536656
101428,0.16730852
101429,0.19577977
101434,0.05856251
101440,0.12440542
101448,0.15455452
101449,0.016154662
101465,1.5801686e-10
101467,0.042477358
101472,0.24412996
101478,0.060945608
101497,0.13891585
101504,0.044718653
101547,0.09114507
101548,1.5456718e-16
101555,8.394073e-14
101570,0.07258915
101572,0.0008421864
101578,0.0
101580,0.0
101588,0.15631875
101602,0.0
101610,2.5054934e-26
101614,0.1339113
101616,0.116465405
101643,0.18292375
101644,0.064316615
101649,0.17462246
101650,0.14348908
101665,1.5907308e-07
101667,0.16516611
101669,0.09801464
101674,0.0
101675,0.09966171
101678,0.17166825
101682,0.1806255
101686,0.1152856
101697,0.2101714
101700,0.2698949
101711,5.4761416e-16
101714,6.2863086e-17
101715,0.23251213
101728,0.018947024
101732,0.1135295
101757,0.17601994
101758,0.18660879
101759,0.1322418
101762,4.006311e-30
101764,0.11118399
101780,0.26823002
101784,0.08043951
101789,0.02965811
101816,0.09838772
101819,0.0001741774
101827,0.035114605
101863,0.0
101867,0.16507857
